	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap				
115	1_3_13a_425_Ko_Mi.wav	0	0	58	2577	4890	236	83	96	213	98	10	20	40	60
116	1_3_14a_425_Ko_Mi.wav	3	1	58	2537	4701	246	83	196	223	198	10	20	40	60
117	1_1_16c_525_Mi_Ko.wav	0	0	59	3005	5576	237	84	97	211	98	10	20	40	60
118	1_1_17c_525_Mi_Ko.wav	0	1	59	2973	5610	247	84	197	221	198	10	20	40	60
119	1_3_1d_525_Mi_Ar.wav	0	0	60	3028	5782	237	77	97	213	98	10	20	40	60
120	1_3_2d_525_Mi_Ar.wav	0	1	60	3130	5803	247	77	197	223	198	10	20	40	60
121	1_2_43d_525_Mi_Ko.wav	0	0	61	2815	5446	237	85	97	212	98	10	20	40	60
122	1_2_45d_525_Mi_Ko.wav	0	1	61	2769	5389	247	85	197	222	198	10	20	40	60
123	1_2_49b_525_Ro_Mi.wav	0	0	62	2779	5487	237	91	97	212	98	10	20	40	60
124	1_2_50b_525_Ro_Mi.wav	0	1	62	2841	5549	247	91	197	222	198	10	20	40	60
125	1_1_4a_525_Ar_Mi.wav	0	0	63	3008	5593	237	78	97	211	98	10	20	40	60
126	1_1_5a_525_Ar_Mi.wav	0	1	63	2944	5543	247	78	197	221	198	10	20	40	60
127	1_3_7a_525_Ar_Ja.wav	0	0	64	3129	5813	237	80	97	213	98	10	20	40	60
128	1_3_8a_525_Ar_Ja.wav	0	1	64	3168	5729	247	80	197	223	198	10	20	40	60
129	1_1_22d_525_Ja_Ko.wav	0	0	65	3014	5646	237	87	97	211	98	10	20	40	60
130	1_1_23d_525_Ja_Ko.wav	0	1	65	2938	5600	247	87	197	221	198	10	20	40	60
131	1_1_28a_525_Ro_Mi.wav	0	0	66	2898	5553	237	90	97	211	98	10	20	40	60
132	1_1_29a_525_Ro_Mi.wav	0	1	66	2978	5549	247	90	197	221	198	10	20	40	60
133	1_3_19c_525_Ja_Ko.wav	0	0	67	3092	5697	237	86	97	213	98	10	20	40	60
134	1_3_20c_525_Ja_Ko.wav	3	1	67	3100	5652	247	86	197	223	198	10	20	40	60
135	1_1_10b_525_Ar_Ja.wav	0	0	68	2935	5638	238	81	97	211	98	10	20	40	60
136	1_1_11b_525_Ar_Ja.wav	0	1	68	2950	5646	248	81	197	221	198	10	20	40	60
137	1_3_31a_525_Ro_Ja.wav	0	0	69	3091	5722	238	92	97	213	98	10	20	40	60
138	1_3_32a_525_Ro_Ja.wav	0	1	69	3078	5884	248	92	197	223	198	10	20	40	60
139	1_2_46a_525_Ko_Ja.wav	0	0	70	2767	5475	238	88	97	212	98	10	20	40	60
140	1_2_47a_525_Ko_Ja.wav	0	1	70	2853	5561	248	88	197	222	198	10	20	40	60
141	1_2_52c_525_Ja_Ro.wav	0	0	71	2765	5323	238	94	97	212	98	10	20	40	60
142	1_2_53c_525_Ja_Ro.wav	0	1	71	2785	5493	248	94	197	222	198	10	20	40	60
143	1_1_34b_525_Ro_Ja.wav	0	0	72	2988	5617	238	93	97	211	98	10	20	40	60
144	1_1_35b_525_Ro_Ja.wav	0	1	72	2979	5617	248	93	197	221	198	10	20	40	60
145	1_3_25d_525_Mi_Ro.wav	0	0	73	3049	5645	238	89	97	213	98	10	20	40	60
146	1_3_26d_525_Mi_Ro.wav	0	1	73	3089	5692	248	89	197	223	198	10	20	40	60
147	1_2_37d_525_Mi_Ar.wav	0	0	74	2862	5492	238	79	97	212	98	10	20	40	60
148	1_2_38d_525_Mi_Ar.wav	0	1	74	2780	5450	248	79	197	222	198	10	20	40	60
149	1_3_15b_525_Ko_Mi.wav	0	0	75	3090	5866	238	83	97	213	98	10	20	40	60
150	1_3_13b_525_Ko_Mi.wav	0	1	75	3084	5669	248	83	197	223	198	10	20	40	60
151	1_2_40c_525_Ja_Ar.wav	0	0	76	2785	5493	238	82	97	212	98	10	20	40	60
152	1_2_41c_525_Ja_Ar.wav	99	1	76	2820	5418	248	82	197	222	198	10	20	40	60
