play_nr	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
112	1_3_50d_425_Mi_Ro.wav	0	1	56	2626	4853	246	91	196	223	198	35	45	60	70
113	1_2_10d_425_Ja_Ar.wav	0	0	57	2307	4610	236	81	96	212	98	35	45	70	80
114	1_2_11d_425_Ja_Ar.wav	0	1	57	2322	4618	246	81	196	222	198	35	45	70	80
115	1_1_25b_425_Ro_Mi.wav	0	0	58	2392	4588	236	89	96	211	98	35	45	70	80
116	1_1_26b_425_Ro_Mi.wav	3	1	58	2432	4635	246	89	196	221	198	35	45	70	80
117	3_2_4b_525_Ar_Mi.wav	0	0	59	3836	6496	237	78	97	212	99	35	45	70	80
118	3_2_5b_525_Ar_Mi.wav	0	1	59	3824	6395	247	78	197	222	199	35	45	70	80
119	3_2_10c_525_Ja_Ar.wav	0	0	60	3830	6484	237	81	97	212	99	35	45	70	80
120	3_2_11c_525_Ja_Ar.wav	0	1	60	3865	6526	247	81	197	222	199	35	45	70	80
121	3_1_1a_525_Ar_Mi.wav	0	0	61	3998	6561	237	77	97	211	99	35	45	80	90
122	3_1_2a_525_Ar_Mi.wav	0	1	61	4001	6609	247	77	197	221	199	35	45	80	90
123	3_2_28b_525_Ro_Mi.wav	0	0	62	3820	6419	237	90	97	212	99	35	45	80	90
124	3_2_29b_525_Ro_Mi.wav	0	1	62	3780	6442	247	90	197	222	199	35	45	80	90
125	3_3_51c_525_Mi_Ro.wav	0	0	63	4144	6852	237	91	97	213	99	35	45	80	90
126	3_3_49c_525_Mi_Ro.wav	0	1	63	4130	6659	247	91	197	223	199	35	45	80	90
127	3_2_22a_525_Ko_Ja.wav	0	0	64	3856	6521	237	87	97	212	99	35	45	80	90
128	3_2_23a_525_Ko_Ja.wav	0	1	64	3897	6450	247	87	197	222	199	35	45	80	90
129	3_1_7b_525_Ar_Ja.wav	0	0	65	3970	6730	237	80	97	211	99	45	55	70	80
130	3_1_8b_525_Ar_Ja.wav	0	1	65	4000	6595	247	80	197	221	199	45	55	70	80
131	3_3_52d_525_Ja_Ro.wav	0	0	66	4171	6841	237	94	97	213	99	45	55	70	80
132	3_3_54d_525_Ja_Ro.wav	0	1	66	4128	6787	247	94	197	223	199	45	55	70	80
133	3_3_41d_525_Ja_Ar.wav	0	0	67	4145	6774	237	82	97	213	99	45	55	70	80
134	3_3_42d_525_Ja_Ar.wav	3	1	67	4227	6857	247	82	197	223	199	45	55	70	80
135	3_3_48b_525_Ko_Ja.wav	0	0	68	4221	6929	238	88	97	213	99	45	55	70	80
136	3_3_46b_525_Ko_Ja.wav	0	1	68	4106	6721	248	88	197	223	199	45	55	70	80
137	3_2_34c_525_Ja_Ro.wav	0	0	69	3784	6447	238	93	97	212	99	45	55	80	90
138	3_2_35c_525_Ja_Ro.wav	0	1	69	3845	6415	248	93	197	222	199	45	55	80	90
139	3_2_16d_525_Mi_Ko.wav	0	0	70	3836	6429	238	84	97	212	99	45	55	80	90
140	3_2_17d_525_Mi_Ko.wav	0	1	70	3905	6448	248	84	197	222	199	45	55	80	90
141	3_1_31b_525_Ro_Ja.wav	0	0	71	4070	6596	238	92	97	211	99	45	55	80	90
142	3_1_32b_525_Ro_Ja.wav	0	1	71	4003	6610	248	92	197	221	199	45	55	80	90
143	3_3_37c_525_Mi_Ar.wav	0	0	72	4142	6739	238	79	97	213	99	45	55	80	90
144	3_3_38c_525_Mi_Ar.wav	0	1	72	4212	6783	248	79	197	223	199	45	55	80	90
145	3_1_25a_525_Ro_Mi.wav	0	0	73	4023	6708	238	89	97	211	99	55	65	80	90
146	3_1_26a_525_Ro_Mi.wav	0	1	73	4020	6538	248	89	197	221	199	55	65	80	90
147	3_3_43a_525_Ko_Mi.wav	0	0	74	4145	6730	238	85	97	213	99	55	65	80	90
148	3_3_44a_525_Ko_Mi.wav	0	1	74	4180	6888	248	85	197	223	199	55	65	80	90
149	3_1_21d_525_Ja_Ko.wav	0	0	75	3975	6595	238	86	97	211	99	55	65	80	90
150	3_1_19d_525_Ja_Ko.wav	0	1	75	4063	6656	248	86	197	221	199	55	65	80	90
151	3_1_13c_525_Mi_Ko.wav	0	0	76	4000	6713	238	83	97	211	99	55	65	80	90
152	3_1_14c_525_Mi_Ko.wav	99	1	76	3960	6524	248	83	197	221	199	55	65	80	90
